d1,d2,d3,diem,Toán_TB,Văn_TB,KH_TB
14,33,16,63,6.52,7.78,7.35
24,40,24,88,9,8.25,8.73
28,34,15,77,8.35,7.93,8.52
32,28,28,88,9.1,7.85,8.82
36,31,26,93,9.32,7.65,8.7
33,34,23,90,9.22,8.25,9.04
19,36,20,75,8.68,8.32,8.76
21,30,22,73,8.55,7.82,8.44
21,35,18,74,8.57,7.95,8.56
13,27,14,54,8.45,7.35,8.15
26,36,22,84,9.02,8.48,8.08
13,31,15,59,7.93,8.32,7.98
16,34,18,68,8.28,7.48,8.58
15,30,21,66,8.62,7.95,8.44
38,42,33,113,9.62,8.62,9.42
12,32,14,58,8.08,7.52,7.94
10,28,18,56,8.3,7.12,7.98
29,36,23,88,9.2,8.45,8.76
22,32,24,78,9.3,8.07,8.76
26,37,23,86,8.85,8.45,8.86
13,33,21,67,8.48,8.22,8.2
13,31,22,66,7.25,8.33,8.06
14,27,20,61,7.42,8.5,8.14
4,34,17,55,6.72,7.28,7.68
12,31,16,59,7.9,7.43,7.87
28,39,18,85,8.43,8.55,8.25
30,32,23,85,8.57,7.98,8.45
25,39,20,84,8.57,8.4,8.94
26,28,24,78,9.07,8.23,8.57
29,39,23,91,9.73,9.12,9.44
30,41,20,91,9.35,8.68,9.1
27,35,20,82,9.4,8.23,8.94
27,32,18,77,8.4,8.5,8.24
12,31,13,56,8,8.07,8.14
36,31,22,89,9.48,8.23,8.29
30,29,27,86,9.32,8.12,8.88
32,32,20,84,8.75,7.95,8.93
26,32,27,85,7.98,7.92,8.32
26,42,25,93,8.73,8.55,8.38
23,34,18,75,8.57,8.38,8.4
25,32,27,84,8.1,6.82,8.26
26,32,15,73,8.57,8.05,8.06
16,27,22,65,8.52,8.18,8.22
32,28,30,90,9.02,7.32,8.87
14,30,15,59,7.78,7.6,8.23
36,31,24,91,9.5,7.52,8.76
19,26,13,58,8.88,8.15,8.24
22,37,22,81,8.85,8.45,8.49
22,34,24,80,8.75,7.45,8.83
12,25,19,56,8.73,7.95,8.5
